division_name,division_id,office_name,office_id,candidate_name,candidate_id,candidate_party_name,candidate_party_id,votes
 Abbeville                 ,57, President of the United States,1, Chase Oliver and Mike ter Maat        ,8258, Libertarian         ,                  4,38
 Abbeville                 ,57, President of the United States,1, Claudia De La Cruz and Karina Garcia  ,8259, Workers             ,                282,16
 Abbeville                 ,57, President of the United States,1, Cornel West and Melina Abdulla        ,8260, United Citizens     ,                278,31
 Abbeville                 ,57, President of the United States,1, Donald J. Trump and JD Vance          ,27, Republican          ,                  2,8509
 Abbeville                 ,57, President of the United States,1, Jill Stein and Rudolph Butch Ware     ,6882, Green               ,                  3,26
 Abbeville                 ,57, President of the United States,1, Kamala D. Harris and Tim Walz         ,7553, Democratic          ,                  1,3399
 Abbeville                 ,57, President of the United States,1, Overvotes/Undervotes                  ,10,                     ,                   ,0
 Abbeville                 ,57, President of the United States,1, Randall A. Terry and Stephen E. Broden,8261, Constitution        ,                275,29
 Abbeville                 ,57, President of the United States,1, Total Ballots Cast                    ,1,                     ,                   ,12048
 Abbeville                 ,57, President of the United States,1, Total Votes Cast                      ,4,                     ,                   ,12048
 Aiken                     ,75, President of the United States,1, Chase Oliver and Mike ter Maat        ,8258, Libertarian         ,                  4,437
 Aiken                     ,75, President of the United States,1, Claudia De La Cruz and Karina Garcia  ,8259, Workers             ,                282,108
 Aiken                     ,75, President of the United States,1, Cornel West and Melina Abdulla        ,8260, United Citizens     ,                278,247
 Aiken                     ,75, President of the United States,1, Donald J. Trump and JD Vance          ,27, Republican          ,                  2,53592
 Aiken                     ,75, President of the United States,1, Jill Stein and Rudolph Butch Ware     ,6882, Green               ,                  3,228
 Aiken                     ,75, President of the United States,1, Kamala D. Harris and Tim Walz         ,7553, Democratic          ,                  1,31298
 Aiken                     ,75, President of the United States,1, Overvotes/Undervotes                  ,10,                     ,                   ,0
 Aiken                     ,75, President of the United States,1, Randall A. Terry and Stephen E. Broden,8261, Constitution        ,                275,181
 Aiken                     ,75, President of the United States,1, Total Ballots Cast                    ,1,                     ,                   ,86091
 Aiken                     ,75, President of the United States,1, Total Votes Cast                      ,4,                     ,                   ,86091
 Allendale                 ,164, President of the United States,1, Chase Oliver and Mike ter Maat        ,8258, Libertarian         ,                  4,4
 Allendale                 ,164, President of the United States,1, Claudia De La Cruz and Karina Garcia  ,8259, Workers             ,                282,3
 Allendale                 ,164, President of the United States,1, Cornel West and Melina Abdulla        ,8260, United Citizens     ,                278,29
 Allendale                 ,164, President of the United States,1, Donald J. Trump and JD Vance          ,27, Republican          ,                  2,813
 Allendale                 ,164, President of the United States,1, Jill Stein and Rudolph Butch Ware     ,6882, Green               ,                  3,4
 Allendale                 ,164, President of the United States,1, Kamala D. Harris and Tim Walz         ,7553, Democratic          ,                  1,2165
 Allendale                 ,164, President of the United States,1, Overvotes/Undervotes                  ,10,                     ,                   ,0
 Allendale                 ,164, President of the United States,1, Randall A. Terry and Stephen E. Broden,8261, Constitution        ,                275,5
 Allendale                 ,164, President of the United States,1, Total Ballots Cast                    ,1,                     ,                   ,3023
 Allendale                 ,164, President of the United States,1, Total Votes Cast                      ,4,                     ,                   ,3023
 Anderson                  ,175, President of the United States,1, Chase Oliver and Mike ter Maat        ,8258, Libertarian         ,                  4,439
 Anderson                  ,175, President of the United States,1, Claudia De La Cruz and Karina Garcia  ,8259, Workers             ,                282,83
 Anderson                  ,175, President of the United States,1, Cornel West and Melina Abdulla        ,8260, United Citizens     ,                278,215
 Anderson                  ,175, President of the United States,1, Donald J. Trump and JD Vance          ,27, Republican          ,                  2,71828
 Anderson                  ,175, President of the United States,1, Jill Stein and Rudolph Butch Ware     ,6882, Green               ,                  3,218
 Anderson                  ,175, President of the United States,1, Kamala D. Harris and Tim Walz         ,7553, Democratic          ,                  1,25281
 Anderson                  ,175, President of the United States,1, Overvotes/Undervotes                  ,10,                     ,                   ,0
 Anderson                  ,175, President of the United States,1, Randall A. Terry and Stephen E. Broden,8261, Constitution        ,                275,232
 Anderson                  ,175, President of the United States,1, Total Ballots Cast                    ,1,                     ,                   ,98296
 Anderson                  ,175, President of the United States,1, Total Votes Cast                      ,4,                     ,                   ,98296
 Bamberg                   ,257, President of the United States,1, Chase Oliver and Mike ter Maat        ,8258, Libertarian         ,                  4,14
 Bamberg                   ,257, President of the United States,1, Claudia De La Cruz and Karina Garcia  ,8259, Workers             ,                282,10
 Bamberg                   ,257, President of the United States,1, Cornel West and Melina Abdulla        ,8260, United Citizens     ,                278,25
 Bamberg                   ,257, President of the United States,1, Donald J. Trump and JD Vance          ,27, Republican          ,                  2,2376
 Bamberg                   ,257, President of the United States,1, Jill Stein and Rudolph Butch Ware     ,6882, Green               ,                  3,11
 Bamberg                   ,257, President of the United States,1, Kamala D. Harris and Tim Walz         ,7553, Democratic          ,                  1,3245
 Bamberg                   ,257, President of the United States,1, Overvotes/Undervotes                  ,10,                     ,                   ,0
 Bamberg                   ,257, President of the United States,1, Randall A. Terry and Stephen E. Broden,8261, Constitution        ,                275,13
 Bamberg                   ,257, President of the United States,1, Total Ballots Cast                    ,1,                     ,                   ,5694
 Bamberg                   ,257, President of the United States,1, Total Votes Cast                      ,4,                     ,                   ,5694
 Barnwell                  ,273, President of the United States,1, Chase Oliver and Mike ter Maat        ,8258, Libertarian         ,                  4,28
 Barnwell                  ,273, President of the United States,1, Claudia De La Cruz and Karina Garcia  ,8259, Workers             ,                282,14
 Barnwell                  ,273, President of the United States,1, Cornel West and Melina Abdulla        ,8260, United Citizens     ,                278,36
 Barnwell                  ,273, President of the United States,1, Donald J. Trump and JD Vance          ,27, Republican          ,                  2,5605
 Barnwell                  ,273, President of the United States,1, Jill Stein and Rudolph Butch Ware     ,6882, Green               ,                  3,22
